Fecha;Humedad
01/03/2021 00:00;83
01/03/2021 04:00;94
01/03/2021 08:00;96
01/03/2021 12:00;68
01/03/2021 16:00;47
01/03/2021 20:00;70
02/03/2021 00:00;99
02/03/2021 04:00;99
02/03/2021 08:00;99
02/03/2021 12:00;58
02/03/2021 16:00;51
02/03/2021 20:00;75
03/03/2021 00:00;96
03/03/2021 04:00;99
03/03/2021 08:00;99
03/03/2021 12:00;73
03/03/2021 16:00;50
03/03/2021 20:00;81
04/03/2021 00:00;99
04/03/2021 04:00;99
04/03/2021 08:00;97
04/03/2021 12:00;99
04/03/2021 16:00;99
04/03/2021 20:00;99
05/03/2021 00:00;99
05/03/2021 04:00;99
05/03/2021 08:00;99
05/03/2021 12:00;90
05/03/2021 16:00;61
05/03/2021 20:00;85
06/03/2021 00:00;94
06/03/2021 04:00;99
06/03/2021 08:00;99
06/03/2021 12:00;62
06/03/2021 16:01;55
06/03/2021 20:01;99
07/03/2021 00:01;99
07/03/2021 04:01;99
07/03/2021 08:01;99
07/03/2021 12:01;60
07/03/2021 16:01;54
07/03/2021 20:01;99
08/03/2021 00:01;99
08/03/2021 04:00;99
08/03/2021 08:00;99
08/03/2021 12:00;56
08/03/2021 16:00;56
08/03/2021 20:00;98
09/03/2021 00:00;99
09/03/2021 04:00;99
09/03/2021 08:00;99
09/03/2021 12:00;59
09/03/2021 16:00;48
09/03/2021 20:00;95
10/03/2021 00:00;99
10/03/2021 04:00;99
10/03/2021 08:00;99
10/03/2021 12:00;58
10/03/2021 16:00;39
10/03/2021 20:00;94
11/03/2021 00:00;88
11/03/2021 04:00;99
11/03/2021 08:00;93
11/03/2021 12:00;52
11/03/2021 16:00;40
11/03/2021 20:00;98
12/03/2021 00:00;99
12/03/2021 04:00;99
12/03/2021 08:00;96
12/03/2021 12:00;54
12/03/2021 16:00;45
12/03/2021 20:00;93
13/03/2021 00:00;99
13/03/2021 04:00;99
13/03/2021 08:00;99
13/03/2021 12:00;64
13/03/2021 16:00;50
13/03/2021 20:00;98
14/03/2021 00:00;81
14/03/2021 04:00;94
14/03/2021 08:00;99
14/03/2021 12:00;49
14/03/2021 16:00;32
14/03/2021 20:00;78
15/03/2021 00:00;90
15/03/2021 04:00;91
15/03/2021 08:00;95
15/03/2021 12:00;52
15/03/2021 16:00;37
15/03/2021 20:00;82
16/03/2021 00:00;83
16/03/2021 04:00;98
16/03/2021 08:00;88
16/03/2021 16:00;99
16/03/2021 20:00;99
17/03/2021 00:01;99
17/03/2021 04:01;99
17/03/2021 08:01;99
17/03/2021 12:01;99
17/03/2021 16:01;94
17/03/2021 20:01;91
18/03/2021 00:01;87
18/03/2021 04:01;99
18/03/2021 08:01;99
18/03/2021 12:01;67
18/03/2021 16:00;52
18/03/2021 20:00;99
19/03/2021 00:00;99
19/03/2021 04:00;99
19/03/2021 08:00;99
19/03/2021 12:00;76
19/03/2021 16:00;64
19/03/2021 20:00;93
20/03/2021 00:00;98
20/03/2021 04:00;99
20/03/2021 08:00;99
20/03/2021 12:00;99
20/03/2021 16:00;99
20/03/2021 20:00;99
21/03/2021 00:00;99
21/03/2021 04:00;99
21/03/2021 08:00;99
21/03/2021 12:00;79
21/03/2021 16:00;65
21/03/2021 20:00;99
22/03/2021 00:00;99
22/03/2021 04:00;99
22/03/2021 08:00;99
22/03/2021 12:00;83
22/03/2021 16:00;75
22/03/2021 20:00;99
23/03/2021 00:00;99
23/03/2021 04:00;99
23/03/2021 08:00;99
23/03/2021 12:00;80
23/03/2021 16:00;56
23/03/2021 20:00;99
24/03/2021 00:00;99
24/03/2021 04:00;99
24/03/2021 08:00;99
24/03/2021 12:00;90
24/03/2021 16:00;78
24/03/2021 20:00;99
25/03/2021 00:00;99
25/03/2021 04:00;99
25/03/2021 08:00;99
25/03/2021 12:00;93
25/03/2021 16:00;99
25/03/2021 20:00;99
26/03/2021 00:00;99
26/03/2021 04:00;99
26/03/2021 08:00;99
26/03/2021 12:00;99
26/03/2021 16:00;99
26/03/2021 20:00;99
27/03/2021 00:00;99
27/03/2021 04:00;99
27/03/2021 08:00;99
27/03/2021 12:01;99
27/03/2021 16:01;90
27/03/2021 20:01;99
28/03/2021 00:01;99
28/03/2021 04:01;99
28/03/2021 08:01;99
28/03/2021 12:01;89
28/03/2021 16:01;95
28/03/2021 20:01;99
29/03/2021 00:00;99
29/03/2021 04:00;99
29/03/2021 08:00;99
29/03/2021 12:00;91
29/03/2021 16:00;57
29/03/2021 20:00;99
30/03/2021 00:00;99
30/03/2021 04:00;99
30/03/2021 08:00;99
30/03/2021 12:00;70
30/03/2021 16:00;51
30/03/2021 20:00;99
31/03/2021 00:00;99
31/03/2021 04:00;99
31/03/2021 08:00;99
31/03/2021 12:00;66
31/03/2021 16:00;56
31/03/2021 20:00;99
01/04/2021 00:00;99
01/04/2021 04:00;99
01/04/2021 08:00;99
01/04/2021 12:00;66
01/04/2021 16:00;52
01/04/2021 20:00;99
02/04/2021 00:00;99
